estado_comprador,sujeto_obligado,proveedor,rfc,situacion,definitivo_dof,fecha_contrato,firmado_despues_definitivo,tipo_procedimiento,ejercicio,importe,monto_mxn_millones,importe_plausible,direccion_anuncio
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta s.a. de c.v..,NCC220721SG3,Definitivo,2026-04-24,2024-11-26,False,Adjudicación directa,2025,205320.0,0.21,True,"https://drive.google.com/file/d/1i6DJkR6uirx_CPNNd_7vAAY_QuRe2IYD/view?usp=drive_link,"
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta S.A. de C.V.,NCC220721SG3,Definitivo,2026-04-24,2025-12-31,False,Adjudicación directa,2025,201840.0,0.2,True,"https://drive.google.com/file/d/114O153EhU8Dfs8qCs7IEYrD5mvfwh1FA/view?usp=drive_link,"
MICHOACÁN DE OCAMPO,MIC - Secretaria de Igualdad Sustantiva y Desarrollo de las Mujeres Michoacanas,Polette Valeria Rojas Solorio,ROSP920428398,Definitivo,2026-04-24,,False,Adjudicación directa,2025,194611.52,0.19,True,
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta s.a. de c.v..,NCC220721SG3,Definitivo,2026-04-24,2024-11-29,False,Adjudicación directa,2025,192560.0,0.19,True,"https://drive.google.com/file/d/1o7nb25PjUU-NHnHVn3ZlSg25tYu4WA0M/view?usp=drive_link,"
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta s.a. de c.v..,NCC220721SG3,Definitivo,2026-04-24,2024-06-20,False,Licitación pública,2025,188384.0,0.19,True,https://drive.google.com/file/d/1x42HSOKEDe3XCwgrETNqEidhW3MHKVLT/view?usp=drive_link
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,gintonik bar s.a. de c.v.,NCC220721SG3,Definitivo,2026-04-24,2025-02-05,False,Adjudicación directa,2025,187920.0,0.19,True,"https://drive.google.com/file/d/1Csc7WKGOgoU5XrIULyoGyj0jZICfkKHt/view?usp=drive_link,"
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta S.A. de C.V.,NCC220721SG3,Definitivo,2026-04-24,2025-06-23,False,Adjudicación directa,2025,179936.88,0.18,True,https://drive.google.com/file/d/1Zvsxm4xxeRzUd3VAWgbFjF1tFxnokIAk/view?usp=drive_link
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta S.A. de C.V.,NCC220721SG3,Definitivo,2026-04-24,2025-12-31,False,Adjudicación directa,2025,161472.0,0.16,True,"https://drive.google.com/file/d/1kuvOHEmuLYveOgET59OH_QBwlGpb5Rhe/view?usp=drive_link,"
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta S.A. de C.V.,NCC220721SG3,Definitivo,2026-04-24,2025-12-31,False,Adjudicación directa,2025,160776.0,0.16,True,"https://drive.google.com/file/d/1fwFDswhrS91Zg9iQZb4nyy0e5n6esleY/view?usp=drive_link,"
MICHOACÁN DE OCAMPO,MIC - Colegio de Estudios Cientificos y Tecnologicos del Estado de Michoacan,POLETTE VALERIA ROJAS SOLORIO,ROSP920428398,Definitivo,2026-04-24,2024-05-07,False,Adjudicación directa,2024,159003.91,0.16,False,https://so.secoem.michoacan.gob.mx/wp-content/uploads/2024/07/contrato-19_0001.pdf
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 Comercializadora Delta S.A. de C.V..,NCC220721SG3,Definitivo,2026-04-24,2024-11-05,False,Adjudicación directa,2025,158172.0,0.16,False,https://drive.google.com/file/d/1U0sX8eh08puZI-xZPu0zntnJFd53zwQA/view?usp=sharing
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta S.A. de C.V.,NCC220721SG3,Definitivo,2026-04-24,2025-12-31,False,Adjudicación directa,2025,156948.0,0.16,True,"https://drive.google.com/file/d/1cGx2DsYZGwlpKyJPyC-bHjzb02fHZv8G/view?usp=drive_link,"
TABASCO,TAB - SECRETARIA DE SALUD (SS),"COMERCIO Y CONSTRUCCION DE TABASCO, S.A. DE C.V.",CCT1808139U3,Definitivo,2025-12-12,2024-05-23,False,Invitación a cuando menos tres personas,2024,149737.67,0.15,False,https://transparencia.tabasco.gob.mx/media/SS/2024/1/690986.pdf
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta s.a. de c.v..,NCC220721SG3,Definitivo,2026-04-24,2025-02-14,False,Adjudicación directa,2025,146885.0,0.15,True,"https://drive.google.com/file/d/11NWuEy016JEt-skfF9dd7SKCdbow3mn2/view?usp=drive_link,"
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta S.A. de C.V.,NCC220721SG3,Definitivo,2026-04-24,2025-12-31,False,Adjudicación directa,2025,142494.4,0.14,True,"https://drive.google.com/file/d/1pwyPXGqL50fT8f2Lg3MJ7WCfiFyeU6_S/view?usp=drive_link,"
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 Comercializadora Delta S.A. de C.V..,NCC220721SG3,Definitivo,2026-04-24,2024-12-09,False,Adjudicación directa,2025,136880.0,0.14,False,https://drive.google.com/file/d/1MzQBDU7qGGVOUzsKeAAv5GkjYgZdI77T/view?usp=sharing
PUEBLA,PUE - H. Ayuntamiento de General Felipe Angeles,Persona Moral,ACC2112135H4,Definitivo,2026-04-30,2024-08-20,False,Invitación a cuando menos tres personas,2024,134066.82,0.13,True,https://storage.googleapis.com/dataismo-public/felipeangeles/demo1/trasparencia/archivos/pD2ljE20a4pegMv238uyr7s1Usl9bY5VyQwop95D.pdf
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta S.A. de C.V.,NCC220721SG3,Definitivo,2026-04-24,2025-12-31,False,Adjudicación directa,2025,132528.84,0.13,True,"https://drive.google.com/file/d/1voxltkT-uBgT0Kuez-tid-HxtQ-UfFfk/view?usp=drive_link,"
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 comercializadora delta S.A. de C.V.,NCC220721SG3,Definitivo,2026-04-24,2025-12-31,False,Adjudicación directa,2025,131880.4,0.13,True,"https://drive.google.com/file/d/1INdXld_jdBqNHgy1BOogEPQcDLps77ox/view?usp=drive_link,"
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,alerta marketing integral s.a. de c.v.,AMI181114A65,Definitivo,2026-04-30,2024-11-13,False,Adjudicación directa,2025,122078.4,0.12,True,"https://drive.google.com/file/d/1Fcfzdx6frOZgOEYckHXPFKF-Y8BIIpeZ/view?usp=sharing,"
BAJA CALIFORNIA SUR,BCS - H. Ayuntamiento de Los Cabos,094 Comercializadora Delta S.A. de C.V..,NCC220721SG3,Definitivo,2026-04-24,2024-12-02,False,Adjudicación directa,2025,121800.0,0.12,False,https://drive.google.com/file/d/1d_retZ-DVrZ-65dWLf7UxvElPPB-5fSf/view?usp=sharing
