institucion,nombre_uc,empresas,dias_entre_constituciones,constituidas_desde,constituidas_hasta,contratos,monto_mxn_millones,proveedores
INSTITUTO MEXICANO DEL SEGURO SOCIAL,DEPARTAMENTO DE CONSTRUCCION Y PLANEACION INMOBILIARIA,4,18,2021-02-22 00:00:00,2021-03-12 00:00:00,9,48.1,"IHSV SERVICIOS Y COMERCIALIZACION SAS DE CV (ISC210222KV4, 2021-02-22 00:00:00) | H&A EDICON SA DE CV (HED2102237T1, 2021-02-23 00:00:00) | OBRAS CIVILES Y ELECTRICAS DE CARDENAS SA DE CV (OCE2103018Y4, 2021-03-01 00:00:00) | PARCO INGENIERIA Y DESARROLLO SA DE CV (PID210312D39, 2021-03-12 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",SUBGERENCIA DE U.O. SONORA ABASTO,3,29,1981-11-18 00:00:00,1981-12-17 00:00:00,86,46.6,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | ACEITES GRASAS Y DERIVADOS SA DE CV (AGD811217HS7, 1981-12-17 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",UNIDAD OPERATIVA ORIZABA,3,26,1981-11-18 00:00:00,1981-12-14 00:00:00,69,45.2,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | INDUSTRIAL PATRONA SA DE CV (IPA811214UR1, 1981-12-14 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",UNIDAD OPERATIVA QUINTANA ROO-ABASTO,3,26,1981-11-18 00:00:00,1981-12-14 00:00:00,101,42.5,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | INDUSTRIAL PATRONA SA DE CV (IPA811214UR1, 1981-12-14 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO DE LA DELEGACION SUR DEL DISTRITO FEDERAL,6,29,2019-05-08 00:00:00,2019-06-06 00:00:00,85,42.1,"INDUSTRIAS DANJUR SA DE CV (IDA190508SR6, 2019-05-08 00:00:00) | SANBARI SA DE CV (SAN190509SQ6, 2019-05-09 00:00:00) | LABORATORIOS MECCH SA DE CV (LME190520V18, 2019-05-20 00:00:00) | CIMA PHARMACEUTICA S DE RL DE CV (CPH190522MW0, 2019-05-22 00:00:00) | MMHEALTH SOLUTIONS SA DE CV (MSO1905243Q4, 2019-05-24 00:00:00) | GRUPO MOLSAN SA DE CV (GMO190606CHA, 2019-06-06 00:00:00)"
"INFRAESTRUCTURA, COMUNICACIONES Y TRANSPORTES",DEPARTAMENTO DE CONTRATOS Y ESTIMACIONES,4,12,2016-10-12 00:00:00,2016-10-24 00:00:00,5,41.3,"CONSTRUCTORA PANERA SA DE CV (CPA161012JWA, 2016-10-12 00:00:00) | UYPRO SA DE CV (UYP161012KW4, 2016-10-12 00:00:00) | VIKAI CONSTRUCCIONES SA DE CV (VCO161012NW4, 2016-10-12 00:00:00) | GEOTECNIA APLICADA A CARRETERAS SC (GAC161024C56, 2016-10-24 00:00:00)"
"ADMINISTRACIÓN DEL SISTEMA PORTUARIO NACIONAL COATZACOALCOS, S.A. DE C.V.",JEFATURA DE PROYECTOS Y CONSTRUCCIÓN,3,25,2019-02-14 00:00:00,2019-03-11 00:00:00,9,41.1,"INSSAC INGENIERIA Y SERVICIOS SA DE CV (IIS190214G14, 2019-02-14 00:00:00) | OBISA DESARROLLADORA DE PROYECTOS Y CONSTRUCCION SA DE CV (ODP190301S44, 2019-03-01 00:00:00) | CONTRATISTAS, MANTENIMIENTO Y SERVICIOS ORCO SA DE CV (CMS1903111F0, 2019-03-11 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",SUBGERENCIA DE LA UNIDAD OPERATIVA NUEVO LEÓN,4,29,1981-11-18 00:00:00,1981-12-17 00:00:00,74,40.9,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | HARINAS SA DE CV (HAR811207KX1, 1981-12-07 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | ACEITES GRASAS Y DERIVADOS SA DE CV (AGD811217HS7, 1981-12-17 00:00:00)"
COMISION NACIONAL DEL AGUA,DIRECCION GENERAL DEL ORGANISMO DE CUENCA PACIFICO NORTE,4,10,2011-05-25 00:00:00,2011-06-04 00:00:00,4,40.9,"INSTALACIONES Y SUPERVISION DE OBRAS DE GUERRERO SA DE CV (ISO110525DW4, 2011-05-25 00:00:00) | SERVICIOS Y CONSTRUCCIONES ANGDEN SA DE CV (SCA1105256C8, 2011-05-25 00:00:00) | INGENIERIA EN RIEGO SOLUCIONES INTEGRALES SA DE CV (IER110531F1A, 2011-05-31 00:00:00) | PROHIDRO Y TOPOGRAFIA SA DE CV (PTO110604IX9, 2011-06-04 00:00:00)"
"INFRAESTRUCTURA, COMUNICACIONES Y TRANSPORTES",SUBDIRECCIÓN DE OBRAS,4,27,2012-01-04 00:00:00,2012-01-31 00:00:00,4,40.1,"VEIN MINING SA DE CV (VMI1201045TA, 2012-01-04 00:00:00) | PCS INGENIERIA SA DE CV (PIN120119IX4, 2012-01-19 00:00:00) | ARRENDADORA DE MAQUINARIA E INFRAESTRUCTURAS SA DE CV (AME120131N41, 2012-01-31 00:00:00) | CONSTRUCCIONES Y TRITURADOS DEL PACIFICO SA DE CV (CTP1201316W4, 2012-01-31 00:00:00)"
CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL,SUBDIRECCION DE RECURSOS MATERIALES,6,29,2014-01-29 00:00:00,2014-02-27 00:00:00,106,40.0,"GRUPO TOSCANELLI SA DE CV (GTO140129UT8, 2014-01-29 00:00:00) | LIKHOM SERVICES SA DE CV (LSE140129RT1, 2014-01-29 00:00:00) | KEYSIGHT TECHNOLOGIES MEXICO S DE RL DE CV (KTM140211BP1, 2014-02-11 00:00:00) | ESPECIALISTAS POLITECNICOS EN INMUNOLOGIA AVANZADA SA DE CV (EPI140214AJ8, 2014-02-14 00:00:00) | SERVICIO GLOBAL DE SEGURIDAD Y SISTEMAS PRIVADOS GS3 SA DE CV (SGS1402179C9, 2014-02-17 00:00:00) | ARIEH BOGA S DE RL DE CV (ABO140227CZ6, 2014-02-27 00:00:00)"
"INFRAESTRUCTURA, COMUNICACIONES Y TRANSPORTES",SUBDIRECCIÓN DE CONTRATACIONES Y PROGRAMAS EMERGENTES,6,30,2009-02-21 00:00:00,2009-03-23 00:00:00,9,39.8,"TERRYPAV SA DE CV (TER0902218J6, 2009-02-21 00:00:00) | H. Q CONTROL S DE RL DE CV (HQC090303VD5, 2009-03-03 00:00:00) | A&A CONSTRUCCION SA DE CV (ACO090306J52, 2009-03-06 00:00:00) | MECOPSSA MEXICANA DE CONSTRUCCION, PROYECTOS Y SUPERVISION SA DE (MMC090317Q84, 2009-03-17 00:00:00) | GCL INGENIERIA SA DE CV (GIN090319FWA, 2009-03-19 00:00:00) | SERVICIOS AGREGADOS EN CONSTRUCCION Y COMERCIALIZACION KAC SA DE (SAC0903238F7, 2009-03-23 00:00:00)"
SERVICIOS A LA NAVEGACION EN EL ESPACIO AEREO MEXICANO,DIRECCIÓN DE RECURSOS MATERIALES,3,23,2009-01-19 00:00:00,2009-02-11 00:00:00,4,39.5,"CONSORCIO INTERNACIONAL HUITZILIN SA DE CV (CIH0901195S3, 2009-01-19 00:00:00) | LB SISTEMAS SA DE CV (LSI090130BR5, 2009-01-30 00:00:00) | TOKA INTERNACIONAL S A P I DE CV (TIN090211JC9, 2009-02-11 00:00:00)"
SECRETARÍA DE DESARROLLO URBANO Y OBRAS PÚBLICAS,SUBSECRETARIA DE CONTROL DE OBRA,5,14,2015-10-26 00:00:00,2015-11-09 00:00:00,9,38.5,"INTERACT SOLUCIONES EN TECNOLOGIAS  DE LA INFORMACION SA DE CV (IST151026AT0, 2015-10-26 00:00:00) | INGENIERIA LOGISTICA ILCA S DE RL DE CV (ILI151028993, 2015-10-28 00:00:00) | FRACTO INGENIERIA SA DE CV (FIN1510296R0, 2015-10-29 00:00:00) | PROVEEDORA DE SERVICIOS Y SUMINISTROS EL BALUARTE S DE RL DE CV (PSS1511023S1, 2015-11-02 00:00:00) | ESTUDIOS E INGENIERIA FRANCAR SA DE CV (EIF151109UM0, 2015-11-09 00:00:00)"
INSTITUTO NACIONAL DE NEUROLOGÍA Y NEUROCIRUGÍA MANUEL VELASCO SUÁREZ,"DIRECCION DE ADMINISTRACION, SUBDIRECCION DE RECURSOS MATERIALES",4,18,2011-01-21 00:00:00,2011-02-08 00:00:00,6,37.5,"MARCON PHARMA SA DE CV (MPH1101215I9, 2011-01-21 00:00:00) | MSM SALUD SA DE CV (MSA110126UC4, 2011-01-26 00:00:00) | NO TEJIDOS GABA SA DE CV (NTG110201Q46, 2011-02-01 00:00:00) | MEDITECH IMPLANTS SA DE CV (MIM110208QJA, 2011-02-08 00:00:00)"
SECRETARIA DE OBRAS PUBLICAS DEL GOBIERNO DEL ESTADO DE TAMAULIPAS,COMITÉ TÉCNICO PARA LA LICITACIÓN DE OBRAS PÚBLICAS,3,25,2010-11-18 00:00:00,2010-12-13 00:00:00,4,34.9,"EDIFICACIONES PERMER SA DE CV (EPE101118JVA, 2010-11-18 00:00:00) | IEX SERVICIOS DE MEXICO SA DE CV (ISM1011229J1, 2010-11-22 00:00:00) | SEA, SERVICIOS AMBIENTALES SA DE CV (SSA101213RN7, 2010-12-13 00:00:00)"
INSTITUTO DE SALUD DEL ESTADO DE MÉXICO,SUBDIRECCIÓN DE RECURSOS MATERIALES,3,24,1997-10-17 00:00:00,1997-11-10 00:00:00,5,32.1,"DL MEDICA SA DE CV (DME971017FZ7, 1997-10-17 00:00:00) | NOVARTIS FARMACEUTICA SA DE CV (NFA971101EDA, 1997-11-01 00:00:00) | GRUPO MEXICANO DE SEGUROS SA DE CV (GMS971110BTA, 1997-11-10 00:00:00)"
"INFRAESTRUCTURA, COMUNICACIONES Y TRANSPORTES","RESIDENCIA GENERAL DE CARRETERAS ALIMENTADORAS, SUBDIRECCIÓN DE OBRAS",4,25,2010-07-31 00:00:00,2010-08-25 00:00:00,5,30.2,"OBRAS DE VIALIDAD Y CONSTRUCCION JILOAYS SA DE CV (OVC1007319T9, 2010-07-31 00:00:00) | LUJO TERRACERIAS Y PAVIMENTOS SA DE CV (LTP1008073K6, 2010-08-07 00:00:00) | GRUPO INDUSTRIAL LAYU SA DE CV (GIL100820BD3, 2010-08-20 00:00:00) | GOLD CAT MAQUINARIA PESADA E INFRAESTRUCTURA SA DE CV (GCM1008251J2, 2010-08-25 00:00:00)"
INSTITUTO DE LA INFRAESTRUCTURA FÍSICA EDUCATIVA DEL ESTADO DE CHIAPAS,DIRECCION DE INGENIERIA DE COSTOS,4,18,2019-03-21 00:00:00,2019-04-08 00:00:00,7,29.6,"GRUPO CONSTRUCTOR Y CONSULTOR ASG SA DE CV (GCC190321FM6, 2019-03-21 00:00:00) | ENTORNO LOGISTICO CONSTRUCTIVO SA DE CV (ELC190329BA1, 2019-03-29 00:00:00) | MICAVA CONSTRUCCIONES SA DE CV (MCO190405LB5, 2019-04-05 00:00:00) | OPERADOR MOBIL URBANO SA DE CV (OMU190408LFA, 2019-04-08 00:00:00)"
"SECRETARIA DE DESARROLLO AGRARIO, TERRITORIAL Y URBANO",DIRECCION GENERAL DE RECURSOS MATERIALES Y SERVICIOS GENERALES,5,30,2014-02-05 00:00:00,2014-03-07 00:00:00,5,29.5,"AXIA COMUNICACIONES SA DE CV (ACO1402056N2, 2014-02-05 00:00:00) | AMERICANA DE CURADURIA Y EDICION SC (ACE140211Q82, 2014-02-11 00:00:00) | ORGANISMO PROMOTOR LOGISTICO SA DE CV (OPL140303110, 2014-03-03 00:00:00) | COMERCIALIZADORA SN. AGUSTIN SA DE CV (CSA140304QC8, 2014-03-04 00:00:00) | TALLER DE URBANISMO MX SA DE CV (TUM140307821, 2014-03-07 00:00:00)"
INSTITUTO NACIONAL DE LOS PUEBLOS INDIGENAS,DIRECCION DE ADQUISICIONES Y OBRA PUBLICA,4,14,2015-02-05 00:00:00,2015-02-19 00:00:00,7,29.5,"GRUPO INMOBILIARIO MEXBLOCK SA DE CV (GIM150205DI7, 2015-02-05 00:00:00) | MEXPRO CONSTUCTION SA DE CV (MCO150205SYA, 2015-02-05 00:00:00) | TRANSPORTES Y MAQUINARIA PESADA EN CONSTRUCCION SA DE CV (TMP150205EK1, 2015-02-05 00:00:00) | ALTERNATIVA CREATIVA 360 SA DE CV (ACT150219FK1, 2015-02-19 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,"DEPARTAMENTO DE ADQUISICIONES, BIENES Y EQUIPAMIENTO",4,24,2010-10-12 00:00:00,2010-11-05 00:00:00,12,29.0,"MEDICAL ADVANCED SUPPLIES SA DE CV (MAS101012CC9, 2010-10-12 00:00:00) | ELECTROHM SERVICIOS SA DE CV (ESE101015SQ8, 2010-10-15 00:00:00) | EDVAG CONCEPTOS COMERCIALES SA DE CV (ECC1011039E0, 2010-11-03 00:00:00) | COMERCIALIZADORA DE EQUIPO MEDICO E INDUSTRIAL ORTIZ SA DE CV (CEM101105NT7, 2010-11-05 00:00:00)"
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,"HOSPITAL REGIONAL DEL ISSSTE EN EL ESTADO DE VERACRUZ, SUBDIRECCION ADMINISTRATIVA",3,30,2013-09-09 00:00:00,2013-10-09 00:00:00,17,28.9,"TD&IS TRAINING, DISTRIBUTION AND INTEGRATED SERVICES SA DE CV (TTD130909V92, 2013-09-09 00:00:00) | INSUMOS COMERCIALES DEL GOLFO SA DE CV (ICG131004NI5, 2013-10-04 00:00:00) | F.R. MEDICAL SA DE CV (FME1310099B9, 2013-10-09 00:00:00)"
INSTITUTO MEXICANO DE LA PROPIEDAD INDUSTRIAL,DIRECCION DIVISIONAL DE ADMINISTRACION,3,27,2009-02-11 00:00:00,2009-03-10 00:00:00,7,27.3,"TOKA INTERNACIONAL S A P I DE CV (TIN090211JC9, 2009-02-11 00:00:00) | CORPORACION PARA LA INNOVACION Y LA INVESTIGACION CIENTIFICA SC (CII090224E27, 2009-02-24 00:00:00) | MAZARS AUDITORES S DE RL DE CV (MAU090310552, 2009-03-10 00:00:00)"
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,HOSPITAL REGIONAL MERIDA,3,22,2013-12-10 00:00:00,2014-01-01 00:00:00,30,27.2,"ETRUEBA DISTRIBUCIONES FARMACEUTICAS S DE RL DE CV (EDF1312105B9, 2013-12-10 00:00:00) | QG MEDICAL GROUP SA DE CV (QMG131227LC2, 2013-12-27 00:00:00) | GRUPO HEALTH CARE SA DE CV (GHC140101RR6, 2014-01-01 00:00:00)"
"BANCO NACIONAL DE OBRAS Y SERVICIOS PUBLICOS, S.N.C.",GERENCIA DE ADQUISICIONES,4,19,2013-01-31 00:00:00,2013-02-19 00:00:00,8,27.0,"H.I.C. INFRAESTRUCTURA PROGRESIVA SA DE CV (HIP130131DX1, 2013-01-31 00:00:00) | PROABRI S A P I DE CV (PRO130131J16, 2013-01-31 00:00:00) | NAC SOLUCIONES INTEGRALES SA DE CV (NSI130214459, 2013-02-14 00:00:00) | MOBILIARIO Y ARQUITECTURA REMS SA DE CV (MAR130219U30, 2013-02-19 00:00:00)"
SECRETARIA DE EDUCACION PUBLICA,DIRECCION DE ADQUISICIONES,3,18,2018-10-23 00:00:00,2018-11-10 00:00:00,3,25.8,"FISIOTERAPIA Y LABORATORIO TECNOLOGICO S A P I DE CV (FLT1810232M9, 2018-10-23 00:00:00) | DSTI MEXICO SA DE CV (DME181029QW6, 2018-10-29 00:00:00) | SUMINISTROS E INSUMOS DIAGONAL DEL PACIFICO SA DE CV (SID1811104ZA, 2018-11-10 00:00:00)"
COMISION NACIONAL PARA LA PROTECCION Y DEFENSA DE LOS USUARIOS DE SERVICIOS FINANCIEROS,DIRECCIÓN DE RECURSOS MATERIALES Y SERVICIOS GENERALES,3,14,2008-04-02 00:00:00,2008-04-16 00:00:00,5,25.4,"PERIODICO DIGITAL SENDERO S A P I DE CV (PDS080402H29, 2008-04-02 00:00:00) | AMX CONTENIDO SA DE CV (ACO080407868, 2008-04-07 00:00:00) | INSTITUTO NACIONAL DE ESTADISTICA Y GEOGRAFIA (INE0804164Z7, 2008-04-16 00:00:00)"
LOTERÍA NACIONAL,GERENCIA DE RECURSOS MATERIALES,4,10,2008-03-28 00:00:00,2008-04-07 00:00:00,9,24.7,"COMPAÑIA PROMOTORA DE EVENTOS INTERNACIONALES S A P I DE CV (PEI0803284X0, 2008-03-28 00:00:00) | GRUPO RADIOFONICO Y MEDIOS INTEGRALES SA DE CV (GRM080331ML9, 2008-03-31 00:00:00) | PERIODICO DIGITAL SENDERO S A P I DE CV (PDS080402H29, 2008-04-02 00:00:00) | AMX CONTENIDO SA DE CV (ACO080407868, 2008-04-07 00:00:00)"
"INFRAESTRUCTURA, COMUNICACIONES Y TRANSPORTES",DIRECCIÓN DE DESARROLLO DE PROYECTOS Y NORMAS,3,21,2006-02-15 00:00:00,2006-03-08 00:00:00,6,24.6,"SISTEMAS DE INSPECCION Y CONTROL DE LA CONSTRUCCION SA DE CV (SIC060215QT2, 2006-02-15 00:00:00) | LASER LABORATORIO Y SERVICIOS SA DE CV (LLS060302SI1, 2006-03-02 00:00:00) | CONSULTORA MEXICANA DE INGENIERIA SA DE CV (CMI0603085S3, 2006-03-08 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",SUBGERENCIA MICHOACÁN,3,29,1981-11-18 00:00:00,1981-12-17 00:00:00,18,24.3,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | ACEITES GRASAS Y DERIVADOS SA DE CV (AGD811217HS7, 1981-12-17 00:00:00)"
INSTITUTO DE INFRAESTRUCTURA FÍSICA EDUCATIVA DEL ESTADO DE JALISCO,DIRECCIÓN GENERAL DEL INFEJAL,3,10,2018-11-20 00:00:00,2018-11-30 00:00:00,6,23.6,"CONSTRUTAG SA DE CV (CON181120278, 2018-11-20 00:00:00) | IAAUP CONSTRUCCIONES SA DE CV (ICO181127KU6, 2018-11-27 00:00:00) | ROMO ACEVEDO CONSTRUCCIONES SA DE CV (RAC181130UJ8, 2018-11-30 00:00:00)"
"INFRAESTRUCTURA, COMUNICACIONES Y TRANSPORTES",CENTRO SCT CHIAPAS,3,25,2004-10-04 00:00:00,2004-10-29 00:00:00,3,23.6,"CONSTRUCTORA RUIZ CRISTALES SA DE CV (CRC041004B2A, 2004-10-04 00:00:00) | TRITURADORA SOCONUSCO SA DE CV (TSO041005N45, 2004-10-05 00:00:00) | PROVEEDORA DE INGENIERIA, INSTALACION E INFRAESTRUCTURA SA DE CV (PII041029HB2, 2004-10-29 00:00:00)"
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,DIRECCION DE ADMINISTRACION-JEFATURA DE SERVICIOS DE ADQUISICIONES,3,15,2016-01-19 00:00:00,2016-02-03 00:00:00,3,23.4,"CDP GROUP SOLUTIONS SC (CDP1601191M9, 2016-01-19 00:00:00) | ALIANZA COMERCIAL AKEA SA DE CV (ACA160202SD0, 2016-02-02 00:00:00) | UNIFLOWERS SA DE CV (UNI160203DIA, 2016-02-03 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,"JEFATURA DE SERVICIOS ADMINISTRATIVOS, COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO",5,25,2012-02-28 00:00:00,2012-03-24 00:00:00,9,23.2,"DAMO DISTRIBUCION Y EQUIPO MEDICO SA DE CV (DDE120228SG4, 2012-02-28 00:00:00) | REPARTEAGUA S DE RL MI (REP120301653, 2012-03-01 00:00:00) | DISTRIBUIDORA DE MEDICAMENTOS ITZAMNA SA DE CV (DMI120303B32, 2012-03-03 00:00:00) | LOGISTICA Y SUMINISTROS HOSPITALARIOS SA DE CV (LSH120312DP6, 2012-03-12 00:00:00) | MASREP INDUSTRIAL SA DE CV (MIN1203241GA, 2012-03-24 00:00:00)"
"SECRETARÍA DE PLANEACIÓN, FINANZAS Y ADMINISTRACIÓN",DIRECCIÓN DE LICITACIONES Y CONTRATACIÓN DE OBRA PÚBLICA,3,18,2019-07-08 00:00:00,2019-07-26 00:00:00,8,22.6,"INBIRA INMOBILIARIA SA DE CV (IIN190708LK3, 2019-07-08 00:00:00) | CONSTRUCCIONES Y GRUPO CONSTRUCTOR BLOKMART SA DE CV (CGC190711KF1, 2019-07-11 00:00:00) | HUTG CONSTRUCCIONES SA DE CV (HCO190726QN2, 2019-07-26 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,OFICINA DE ADQUISICION DE BIENES Y CONTRATACION DE SERVICIOS,5,28,2009-09-23 00:00:00,2009-10-21 00:00:00,24,22.4,"ALFEJ MEDICAL ITEMS S DE RL DE CV (AMI090923B30, 2009-09-23 00:00:00) | DISFAB SA DE CV (DIS091002QL7, 2009-10-02 00:00:00) | COMERCIALIZADORA DICLINSA SA DE CV (CDI091016G58, 2009-10-16 00:00:00) | FIVE BROH'S SA DE CV (FBR0910203V8, 2009-10-20 00:00:00) | PHARMA TYCSA SA DE CV (PTY091021TR4, 2009-10-21 00:00:00)"
SECRETARIA DE GOBERNACION,DIRECCIÓN GENERAL DE RECURSOS MATERIALES Y SERVICIOS GENERALES,5,19,2007-01-11 00:00:00,2007-01-30 00:00:00,14,22.2,"LA CRONICA DIARIA SA DE CV (CDI070111F89, 2007-01-11 00:00:00) | CARICATURAS, INTERNET, ANIMACIONES Y REVISTAS SA DE CV (CIA070123FD0, 2007-01-23 00:00:00) | SEÑAL INTERACTIVA SA DE CV (SIN070124NL7, 2007-01-24 00:00:00) | RED DE RADIOS COMUNITARIAS DE MEXICO AC (RRC070125LI5, 2007-01-25 00:00:00) | CAHO MULTISERVICIOS SA DE CV (CMU070130RW4, 2007-01-30 00:00:00)"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,DEPARTAMENTO DE ABASTECIMIENTO,5,12,2008-06-19 00:00:00,2008-07-01 00:00:00,42,22.2,"ESPECIALISTAS EN APLICACIONES Y SOPORTE TECNICO MEDICO SA DE CV (EAS080619B92, 2008-06-19 00:00:00) | DESARROLLO DE EQUIPOS ELECTROMEDICOS SA DE CV (DDE080625LW9, 2008-06-25 00:00:00) | BIOMA FARMACEUTICA SA DE CV (BFA080627KN0, 2008-06-27 00:00:00) | ENRE MEDICAL SERVICE SA DE CV (EMS0806273F6, 2008-06-27 00:00:00) | CANAPHARMA SA DE CV (CAN080701DN6, 2008-07-01 00:00:00)"
INSTITUTO CONSTRUCTOR DE INFRAESTRUCTURA FISICA EDUCATIVA Y DEPORTIVA DE NUEVO LEON,INSTITUTO CONSTRUCTOR DE INFRAESTRUCTURA FÍSICA EDUCATIVA Y DEPORTIVA DE NUEVO LEÓN,3,8,2012-06-13 00:00:00,2012-06-21 00:00:00,3,21.4,"ENLACES INTEGRALES ARCO SA DE CV (EIA120613FF0, 2012-06-13 00:00:00) | CLO ASESORES SA DE CV (CAS120620PK7, 2012-06-20 00:00:00) | CONSORCIO CONSTRUCTIVO ROGATI S DE RL DE CV (CCR1206211W7, 2012-06-21 00:00:00)"
"ALIMENTACIÓN PARA EL BIENESTAR, S.A. DE C.V.",UNIDAD OPERATIVA BAJA CALIFORNIA SUR,3,29,1981-11-18 00:00:00,1981-12-17 00:00:00,27,21.2,"MOLINOS AZTECA SA DE CV (MAZ8111185X2, 1981-11-18 00:00:00) | SALES DEL ISTMO SA DE CV (SIS811210H53, 1981-12-10 00:00:00) | ACEITES GRASAS Y DERIVADOS SA DE CV (AGD811217HS7, 1981-12-17 00:00:00)"
AUTORIDAD EDUCATIVA FEDERAL EN LA CIUDAD DE MÉXICO,"UNIDAD DE ADMINISTRACION Y FINANZAS, DIRECCION DE RECURSOS MATERIALES Y SERVICIOS",4,14,2009-12-02 00:00:00,2009-12-16 00:00:00,8,21.1,"BEMI, ESPACIOS DE ESTACIONAMIENTO SA DE CV (BEE091202P13, 2009-12-02 00:00:00) | COMITES INTERINSTITUCIONALES PARA LA EVALUACIÓN DE LA EDUCACIÓN (CIE091204U89, 2009-12-04 00:00:00) | HPM REPRESENTACIONES S DE RL DE CV (HRE091204348, 2009-12-04 00:00:00) | PROYECTOS, CONSTRUCCION Y SUMINISTRO SIAP SA DE CV (PCY0912166V8, 2009-12-16 00:00:00)"
SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,DIRECCION GENERAL DE RECURSOS MATERIALES Y SERVICIOS GENERALES,5,23,2014-02-19 00:00:00,2014-03-14 00:00:00,5,20.8,"DISTRIBUIDORA DE GAS Y DIESEL JUVENTUS SA DE CV (DGD140219237, 2014-02-19 00:00:00) | OPERADORA DE COMEDORES SALUDABLES SA DE CV (OCS140225QE2, 2014-02-25 00:00:00) | LIREM INOVATION S DE RL DE CV (LIN1402276D2, 2014-02-27 00:00:00) | ESPECIALISTAS EN FARMACOS DEL NORTE SA DE CV (EFN140312847, 2014-03-12 00:00:00) | BIO GREEN PRODUCTS SA DE CV (BGP140314BQ5, 2014-03-14 00:00:00)"
SECRETARÍA DE ORDENAMIENTO TERRITORIAL Y OBRAS PÚBLICAS,SUBSECRETARIA DE OBRAS PÚBLICAS,3,20,2004-01-15 00:00:00,2004-02-04 00:00:00,4,20.4,"GV CONSTRUCCIONES SA DE CV (GCO040115233, 2004-01-15 00:00:00) | ARQ+3 ARQUITECTOS SA DE CV (ATA0401163R3, 2004-01-16 00:00:00) | SJT CONTRATISTAS SA DE CV (SCO0402042Q0, 2004-02-04 00:00:00)"
SERVICIO DE ADMINISTRACION TRIBUTARIA,ADMINISTRACIÓN DE OPERACIÓN DE RECURSOS Y SERVICIOS 6,3,6,2014-12-10 00:00:00,2014-12-16 00:00:00,3,19.7,"COLVA CONSTRUCCIONES SA DE CV (CCO141210M65, 2014-12-10 00:00:00) | GRUPO FAVALI SA DE CV (GFA1412108G8, 2014-12-10 00:00:00) | TASEFI SA DE CV (TAS141216MF4, 2014-12-16 00:00:00)"
COMISIÓN DEL AGUA DEL ESTADO DE MÉXICO,DIRECCIÓN GENERAL DE INVERSIÓN Y GESTIÓN,3,30,2013-03-19 00:00:00,2013-04-18 00:00:00,3,19.6,"CONSULTORES OLMHERK SA DE CV (COL130319MG9, 2013-03-19 00:00:00) | TRIPOY SA DE CV (TRI130409RCA, 2013-04-09 00:00:00) | ACQUASU TRATAMIENTO DE AGUA & MA SA DE CV (ATA130418MP0, 2013-04-18 00:00:00)"
